Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
matchify,com.matchify.utils,FileUtils,generateUniqueFileNameForImage,Magic Number,The method contains a magic number: 1000000,45
matchify,com.matchify.utils,FileUtils,generateUniqueFileNameForImage,Magic Number,The method contains a magic number: 1000000,45
matchify,com.matchify.controller,AuthControllerIntegrationTest,testUserRegister,Long Statement,The length of the statement "ResultActions resultActions=mockMvc.perform(post("/api/v1/auth/register").contentType(MediaType.APPLICATION_JSON).content(asJsonString(user)));" is 143.,45
matchify,com.matchify.controller,AuthControllerIntegrationTest,testUserRegister,Long Statement,The length of the statement "resultActions.andExpect(status().isOk()).andExpect(content().contentType(MediaType.APPLICATION_JSON)).andExpect(jsonPath("$.token").exists()).andExpect(jsonPath("$.message").value("User Registered Successfully"));" is 213.,45
matchify,com.matchify.controller,AuthControllerIntegrationTest,testLogin,Long Statement,The length of the statement "ResultActions resultActions=mockMvc.perform(post("/api/v1/auth/login").contentType(MediaType.APPLICATION_JSON).content(asJsonString(loginRequest)));" is 148.,73
matchify,com.matchify.controller,AuthControllerIntegrationTest,testLogin,Long Statement,The length of the statement "resultActions.andExpect(status().isOk()).andExpect(content().contentType(MediaType.APPLICATION_JSON)).andExpect(jsonPath("$.jwt").exists()).andExpect(jsonPath("$.message").value("Login Success"));" is 196.,73
matchify,com.matchify.controller,AuthControllerTest,testAddNewUser,Long Statement,The length of the statement "User newUser=new User(2`"Bob"`"Builder"`"Bob.b@example.com"`"Password@456"`"Gotham City"`"20-30"`ChatStatusForUser.ONLINE);" is 123.,52
matchify,com.matchify.controller,AuthControllerTest,testAddNewUser,Magic Number,The method contains a magic number: 2,52
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Long Statement,The length of the statement "CreateEventRequest request=new CreateEventRequest("eventName"`"description"`LocalDate.of(2024`Month.MARCH`25)`LocalTime.of(15`40`7)`LocalTime.of(15`40`7)`"additionalInstructions"`"address"`"pincode"`"city");" is 207.,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 2024,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 25,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 15,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 40,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 7,40
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Magic Number,The method contains a magic number: 15,40
